approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Aberdeen North Foodbank,Food Bank,Food Support,redistribution,57.14,-2.1,Trussell Trust foodbank in Aberdeen,Part of The Trussell Trust network providing emergency food parcels to residents in crisis. Works with local agencies for referrals.,1;2;3;4;5;6;7;8;9;10;11;12,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,"foodbank,trussell,support",0,0,0,,aberdeen.foodbank_north,Year-round,,https://aberdeennorth.foodbank.org.uk/,Unit 15 Apex Living Centre Springtown Industrial Est Londonderry, Aberdeen, AB48 0LY,Aberdeen,Aberdeen City,Scotland,AB10
TRUE,,2,Seaton Park Wild Garlic,Wild Foraging,vegetables,woodland,57.172,-2.098,Wild garlic in the riverside woodland at Seaton Park.,Dense carpets of wild garlic grow along the wooded banks of the River Don within Seaton Park each spring. Best picked before flowering in April.,3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,0,0,0,,Spring,,https://www.openstreetmap.org/?mlat=57.172&mlon=-2.098#map=17/57.172/-2.098,Don Street,Aberdeen,Seaton,Aberdeen City,AB24 1XP
TRUE,,3,Hazlehead Park Community Orchard,Community Orchard,fruits,tree-fruits,57.148,-2.165,Public orchard in the grounds of Hazlehead Park.,"Apple, plum and damson trees are accessible to the public in the orchard area near the maze. Surplus fruit is free to take.",8;9;10,https://images.unsplash.com/photo-1560493676-04071c5f467b?w=512&q=80,"apples, plums, damsons",0,0,0,,Autumn,,https://www.openstreetmap.org/?mlat=57.148&mlon=-2.165#map=17/57.148/-2.165,Hazlehead Avenue,Aberdeen,Hazlehead,Aberdeen City,AB15 8BB
TRUE,,4,Incredible Edible Aberdeen (Rosemount),Incredible Edible,vegetables,street-planters,57.158,-2.112,Community edible planters on Rosemount Place.,"Street-side planters maintained by local volunteers growing kale, chard, herbs and edible flowers for anyone to pick freely.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"kale, chard, herbs",0,0,0,,Summer,,https://www.openstreetmap.org/?mlat=57.158&mlon=-2.112#map=17/57.158/-2.112,Rosemount Place,Aberdeen,Rosemount,Aberdeen City,AB25 2YN
TRUE,,5,River Dee Path Blackberries,Wild Foraging,fruits,riverbank,57.135,-2.145,Brambles along the lower River Dee walkway.,Extensive blackberry brambles line the public footpath along the south bank of the River Dee between Ruthrieston and Cults.,8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,0,0,0,,Summer/Autumn,,https://www.openstreetmap.org/?mlat=57.135&mlon=-2.145#map=17/57.135/-2.145,Deeside Walkway,Aberdeen,Ruthrieston,Aberdeen City,AB10 7PL
TRUE,,6,Scotstown Moor Wild Bilberries,Wild Foraging,fruits,heathland,57.182,-2.065,Bilberries on the open heathland of Scotstown Moor.,Wild bilberries (blaeberries) ripen on the heathland paths of Scotstown Moor Local Nature Reserve in late summer.,7;8,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,bilberries,0,0,0,,Summer,,https://www.openstreetmap.org/?mlat=57.182&mlon=-2.065#map=17/57.182/-2.065,Scotstown Road,Aberdeen,Bridge of Don,Aberdeen City,AB22 8HN
TRUE,,7,Tillydrone Community Growing Project,Community Garden,vegetables,urban-growing,57.170,-2.108,Shared community veg beds open to all.,"A community-run growing project with raised vegetable beds. Surplus produce including courgettes, beans and salad is left out for free during harvest season.",6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, salad",0,0,0,,Summer/Autumn,,https://www.openstreetmap.org/?mlat=57.170&mlon=-2.108#map=17/57.170/-2.108,Tillydrone Avenue,Aberdeen,Tillydrone,Aberdeen City,AB24 2RS
TRUE,,8,Donmouth Local Nature Reserve Elderberries,Wild Foraging,fruits,coastal,57.188,-2.058,Elder trees at the River Don estuary mouth.,Elder trees grow along the dune and scrub margins of Donmouth LNR. Elderflower in June and ripe berries from late August.,6;8;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,"elderflower, elderberries",0,0,0,,Summer/Autumn,,https://www.openstreetmap.org/?mlat=57.188&mlon=-2.058#map=17/57.188/-2.058,Links Road,Aberdeen,Bridge of Don,Aberdeen City,AB23 8BL
TRUE,,9,Nigg Bay Coastal Sea Beet,Coastal Foraging,vegetables,coastal-greens,57.108,-2.078,Sea beet on the rocky shoreline at Nigg Bay.,Wild sea beet grows on the rocky coastal margins south of the harbour. Tender young leaves can be picked from spring through to autumn.,4;5;6;7;8;9,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,sea beet,0,0,0,,Spring/Summer/Autumn,,https://www.openstreetmap.org/?mlat=57.108&mlon=-2.078#map=17/57.108/-2.078,Nigg Bay,Aberdeen,Nigg,Aberdeen City,AB12 3LX
TRUE,,10,Victoria Park Allotment Surplus Stall,Allotment Surplus,vegetables,allotment,57.157,-2.125,Honesty-box surplus veg from Victoria Park allotments.,Local plot holders put surplus vegetables and soft fruit on an honesty-box table at the allotment gate throughout the growing season.,6;7;8;9;10,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"vegetables, soft fruit",0,0,0,,Summer/Autumn,,https://www.openstreetmap.org/?mlat=57.157&mlon=-2.125#map=17/57.157/-2.125,Westburn Road,Aberdeen,Rosemount,Aberdeen City,AB25 3LN
TRUE,,11,Brimmond Hill Blaeberries,Wild Foraging,fruits,heathland,57.175,-2.215,Wild blaeberries on the Brimmond Hill moorland.,Open heathland on Brimmond Hill is rich with wild blaeberry (bilberry) bushes. A popular foraging walk with good views over the city.,7;8,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blaeberries,0,0,0,,Summer,,https://www.openstreetmap.org/?mlat=57.175&mlon=-2.215#map=17/57.175/-2.215,Brimmond Hill,Westhill,Westhill,Aberdeenshire,AB32 6PT
