approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Bangor Foodhub,Community Hub,food-pantry,surplus-food,54.6616,-5.6682,Bangor Elim Church foodbank and community support serving North Down.,Unit 1, 24 Balloo Avenue, Bangor BT19 7QT. Contact: 07821 791674. Open Wed 18:30-20:00,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.6616,-5.6682,Bangor,Bangor,County Down,BT19 7QT
True,,2,Bangor Elim Church Foodbank,Foodbank,food-bank,emergency-parcels,54.6651,-5.6677,Foodbank with Trussell Trust referral support.,Bangor Elim Church, Balloo Crescent, Bangor BT19 7WP. Mon 18:30-20:00, Tue 14:00-15:30, Fri 11:00-12:30 RED voucher,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.6651,-5.6677,Bangor,Bangor,County Down,BT19 7WP
True,,3,Portaferry Hom Portaferry,Community Support,food-pantry,surplus-food,54.4274,-5.5476,Food support hub for Portaferry and Ards Peninsula.,Hom Portaferry, Unit 5 Castle Street, Portaferry BT22 1NZ. Open by appointment,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.4274,-5.5476,Portaferry,Portaferry,County Down,BT22 1NZ
True,,4,Newry Christian Centre Foodbank,Foodbank,food-bank,emergency-parcels,54.1650,-6.3360,Emergency food support for Newry and Mourne area.,Newry Christian Centre, 8 Upper Edward Street, Newry BT35 6AX. Tue & Fri 10:30-12:30. Contact: 07512 946911,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.1650,-6.3360,Newry,Newry,County Down,BT35 6AX
True,,5,Fountain Foodbank Downpatrick,Foodbank,food-bank,emergency-parcels,54.3266,-5.7233,Church-based foodbank serving Downpatrick and Lecale area (Ardglass, Killyleagh).,Fountain Foodbank, Downpatrick Presbyterian Church Hall, 16 Fountain Street, Downpatrick BT30 6AW. Fri 10:00-12:00. Contact: 07444 015883,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.3266,-5.7233,Downpatrick,Downpatrick,County Down,BT30 6AW
True,,6,Holywood Community Pantry,Community Pantry,food-pantry,surplus-food,54.6370,-5.8365,Surplus food pantry serving Holywood and North Down coastal communities.,Holywood Community Centre, 108a High Street, Holywood BT18 9AB. Contact via council support,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.6370,-5.8365,Holywood,Holywood,County Down,BT18 9AB
True,,7,Comber Community Food Hub,Community Hub,food-pantry,local-support,54.5512,-5.7443,Community food hub serving Comber and Strangford area.,Comber Community Centre, 10 High Street, Comber BT23 5DY. Contact: 02892 801234,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.5512,-5.7443,Comber,Comber,County Down,BT23 5DY
True,,8,Newtownards Food Support,Foodbank,food-bank,emergency-parcels,54.5936,-5.6953,Foodbank serving Newtownards and Ards region.,Newtownards Foodbank Team, The muster Room, North Down Minister, 35-37 Queen's Prom, Newtownards BT23 4JE,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.5936,-5.6953,Newtownards,Newtownards,County Down,BT23 4JE
True,,9,Ballynahinch Community Pantry,Community Pantry,food-pantry,surplus-food,54.4010,-5.8700,Local pantry providing free food for Ballynahinch residents.,Ballynahinch Community Centre, 54 High Street, Ballynahinch BT24 8ES. Contact: 02897 566156,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.4010,-5.8700,Ballynahinch,Ballynahinch,County Down,BT24 8ES
True,,10,Rostrevor Food Share,Community Fridge,food-pantry,surplus-food,54.0920,-5.9100,Community fridge and food share for Rostrevor and southern Lecale communities.,Rostrevor Community Centre, 2 Chapel Road, Rostrevor BT34 3HL. Open Thu & Sat mornings,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.0920,-5.9100,Rostrevor,Rostrevor,County Down,BT34 3HL
