approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
True,,1,Omagh Community Church Foodbank,Foodbank,food-bank,emergency-parcels,54.5970,-7.2970,Omagh Community Church foodbank serving Omagh and West Tyrone.,Community Centre, 2 Old Market Place, Omagh BT78 1BT. Contact: 07971 362974 or text HELP to 07784 870375,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.5970,-7.2970,Omagh,Omagh,County Tyrone,BT78 1BT
True,,2,Dungannon Foodbank,Foodbank,food-bank,emergency-parcels,54.4984,-6.7670,Dungannon Foodbank serving Dungannon and South Tyrone communities.,Dungannon Foodbank, 1-3 Killyman Road, Dungannon BT71 6DJ. Contact via website for voucher,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.4984,-6.7670,Dungannon,Dungannon,County Tyrone,BT71 6DJ
True,,3,Strabane Foodbank,Foodbank,food-bank,emergency-parcels,54.8260,-7.4690,Foodbank providing emergency food support to Strabane and Castlederg region.,Strabane Foodbank, 31+33 Derry Road, Strabane BT82 9AE. Contact for referral,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.8260,-7.4690,Strabane,Strabane,County Tyrone,BT82 9AE
True,,4,Cookstown Community Pantry,Community Pantry,food-pantry,surplus-food,54.6455,-6.7460,Community food pantry serving Cookstown and Mid Tyrone.,Cookstown Community Centre, 10 Molesworth Street, Cookstown BT80 8JY. Contact via Mid Ulster Council,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.6455,-6.7460,Cookstown,Cookstown,County Tyrone,BT80 8JY
True,,5,Aughnacloy Food Centre,Community Hub,food-pantry,local-support,54.4330,-6.9730,Local community hub offering food and support to rural Tyrone residents.,Aughnacloy Community Centre, 1 Aughnacloy Road, Aughnacloy BT69 6JQ. Contact: 02885 851 234,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.4330,-6.9730,Aughnacloy,Aughnacloy,County Tyrone,BT69 6JQ
True,,6,Chichotomy Food Initiative (Dungannon),Community Initiative,food-pantry,surplus-food,54.5035,-6.7580,Small food initiative supporting families near Dungannon.,Chichotomy Community Hub, 15 Milltown Road, Dungannon BT71 6ND. Opening hours vary,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.5035,-6.7580,Dungannon,Dungannon,County Tyrone,BT71 6ND
True,,7,Fivemiletown Food Pantry,Community Pantry,food-pantry,surplus-food,54.4430,-7.1950,Fivemiletown community food pantry serving Clogher Valley.,Fivemiletown Community Centre, 39 Main Street, Fivemiletown BT75 0LA. Second Thursday each month,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.4430,-7.1950,Fivemiletown,Fivemiletown,County Tyrone,BT75 0LA
True,,8,Pomeroy Food Larder,Community Larder,food-pantry,surplus-food,54.6040,-6.8960,Rural community larder for Pomeroy and surrounding townlands.,Pomeroy Community Centre, 6 Carrickatane Road, Pomeroy BT70 2NL. Tue & Thu 10am-12pm,,,https://images.unsplash.com/photo-1490738217820-3c52a9ae60a8?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.6040,-6.8960,Pomeroy,Pomeroy,County Tyrone,BT70 2NL
True,,9,Clogher Food Support,Church Foodbank,food-bank,community-support,54.4190,-7.1730,Church-based food bank for Clogher and surrounding villages.,Clogher Methodist Church, 6 Main Street, Clogher BT76 0AB. Contact for hours,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.4190,-7.1730,Clogher,Clogher,County Tyrone,BT76 0AB
True,,10,Kildress Parish Foodbank,Church Foodbank,food-bank,emergency-parcels,54.6740,-6.7430,Local parish foodbank serving Kildress and Ardboe areas.,Kildress Parish Hall, 23 Donaghmore Road, Kildress BT70 3NR. Contact via Cookstown outreach team,,,https://images.unsplash.com/photo-1488459716781-31db52582fe9?w=512&q=80,,,,,,,,http://maps.google.com/?q=54.6740,-6.7430,Kildress,Kildress,County Tyrone,BT70 3NR
